seed_image_id,canon_id,food_name_fa,food_name_en,visual_review_status,reviewed_image_role,scene_composition,identity_reference_allowed,segmentation_annotation_required,nutrition_gold_allowed,reviewer,review_date_utc,notes
IFKB-WM-SEED-0001,IFKB-CANON-00008,قورمه‌سبزی,Ghormeh sabzi,accepted,served_final,single_main_with_visible_meat_and_beans,yes,recommended,no,assistant_visual_review_pass_1,2026-07-26T12:52:26.984932+00:00,Good identity reference; presentation variant diversity still required.
IFKB-WM-SEED-0002,IFKB-CANON-00005,قیمه,Gheimeh,accepted_with_components,multi_component_scene,stew_bowl_plus_rice_and_yogurt,yes,yes,no,assistant_visual_review_pass_1,2026-07-26T12:52:26.984959+00:00,Use identity/retrieval and segmentation; not a pure stew-only crop.
IFKB-WM-SEED-0003,IFKB-CANON-00010,فسنجان,Fesenjan,accepted,served_final,single_main,yes,recommended,no,assistant_visual_review_pass_1,2026-07-26T12:52:26.984963+00:00,Strong red pomegranate/walnut presentation; collect darker variants to avoid presentation bias.
IFKB-WM-SEED-0004,IFKB-CANON-00007,خورش بادمجان,Khoresh bademjan,accepted,served_final,single_main,yes,recommended,no,assistant_visual_review_pass_1,2026-07-26T12:52:26.984966+00:00,Clear eggplant stew; oil and meat proportions are not inferable.
IFKB-WM-SEED-0005,IFKB-CANON-00016,عدس پلو,Adas polo,accepted_with_components,multi_component_scene,lentil_rice_plus_raisins_and_side,yes,yes,no,assistant_visual_review_pass_1,2026-07-26T12:52:26.984968+00:00,Use multilabel/segmentation; visible side and garnish must not become class shortcuts.
IFKB-WM-SEED-0006,IFKB-CANON-00018,لوبیا پلو,Loobia polo,accepted_with_components,multi_component_scene,mixed_rice_plus_potato_tahdig,yes,yes,no,assistant_visual_review_pass_1,2026-07-26T12:52:26.984971+00:00,Useful for loobia-polo identity and tahdig segmentation.
IFKB-WM-SEED-0007,IFKB-CANON-00028,کباب کوبیده,Kabab koobideh,accepted_with_components,multi_component_scene,koobideh_plus_bread_and_grilled_tomato,yes,yes,no,assistant_visual_review_pass_1,2026-07-26T12:52:26.984973+00:00,Strong kebab identity; accompaniments require segmentation.
IFKB-WM-SEED-0008,IFKB-CANON-00023,جوجه کباب,Joojeh kabab,accepted_with_components,multi_component_scene,joojeh_plus_rice_onion_tomato,yes,yes,no,assistant_visual_review_pass_1,2026-07-26T12:52:26.984975+00:00,Good plated reference; accompaniment is not part of core joojeh class.
IFKB-WM-SEED-0009,IFKB-CANON-00035,آش رشته,Ash reshteh,accepted,served_final,single_bowl_with_garnish,yes,recommended,no,assistant_visual_review_pass_1,2026-07-26T12:52:26.984977+00:00,Clear ash-reshteh bowl; garnish amount is recipe/portion evidence only when measured.
IFKB-WM-SEED-0010,IFKB-CANON-00036,حلیم,Persian haleem,accepted,served_final,single_bowl,yes,recommended,no,assistant_visual_review_pass_1,2026-07-26T12:52:26.984979+00:00,Explicit Persian haleem; cultural/recipe variants still needed.
IFKB-WM-SEED-0011,IFKB-CANON-00061,فلافل,Iranian falafel,accepted_variant_specific,served_final,falafel_sandwich,yes,yes,no,assistant_visual_review_pass_1,2026-07-26T12:52:26.984981+00:00,Valid Iranian falafel sandwich identity; separate from plate-only falafel class.
IFKB-WM-SEED-0012,IFKB-CANON-00054,میرزاقاسمی,Mirza ghasemi,accepted,served_final,single_main,yes,recommended,no,assistant_visual_review_pass_1,2026-07-26T12:52:26.984985+00:00,Clear Mirza Ghasemi presentation; egg is part of visible dish formulation.
