coverage_id,ingredient_id,ifkb_name_en,official_fdc_description,fdc_data_type,official_release_event,provisional_match_quality,coverage_status,material_difference,next_action,source_url
COV-0001,IFKB-ING-0001,"Rice, white, long-grain, raw","Rice, white, long-grain, unenriched, raw",Foundation,2023-04-20,C,official_name_candidate,Enrichment status is unspecified in IFKB canonical record.,Split enriched/unenriched identity and retrieve current FDC ID.,https://fdc.nal.usda.gov/log/
COV-0002,IFKB-ING-0010,"Pasta, dry","Pasta, dry, enriched, spaghetti",Foundation,2026-04-30,C,official_name_candidate,Shape and enrichment are more specific than generic dry pasta.,Create spaghetti/enriched child record and retrieve FDC ID.,https://fdc.nal.usda.gov/log/
COV-0003,IFKB-ING-0008,"Bulgur, dry","Bulgur, dry, raw",Foundation,2024-10-31,A,official_name_candidate,No material difference identified from the canonical description.,Retrieve current FDC ID and full nutrient metadata.,https://fdc.nal.usda.gov/log/
COV-0004,IFKB-ING-0015,"Lentils, brown, dry","Lentils, dry",Foundation,2023-10-12,C,official_name_candidate,Colour/cultivar is not specified in the official description.,Retrieve FDC ID; assess cultivar scope.,https://fdc.nal.usda.gov/log/
COV-0005,IFKB-ING-0018,"Chickpeas, dry","Chickpeas (garbanzo beans, bengal gram), dry",Foundation,2023-10-12,A,official_name_candidate,No material processing-state difference.,Retrieve current FDC ID and full nutrient metadata.,https://fdc.nal.usda.gov/log/
COV-0006,IFKB-ING-0026,"Black-eyed peas, dry","Blackeye pea, dry",Foundation,2023-10-12,A,official_name_candidate,No material processing-state difference.,Retrieve current FDC ID and full nutrient metadata.,https://fdc.nal.usda.gov/log/
COV-0007,IFKB-ING-0030,"Beef, ground, raw","Beef, ground, 90% lean meat / 10% fat, raw",Foundation,2023-04-20,C,official_name_candidate,IFKB generic ground beef lacks lean/fat percentage.,Split by lean percentage; retrieve 80/20 and 90/10 records.,https://fdc.nal.usda.gov/log/
COV-0008,IFKB-ING-0029,"Lamb, ground, raw","Lamb, ground, raw",Foundation,2025-04-24,A,official_name_candidate,No material difference identified at current ontology resolution.,Retrieve current FDC ID and analytical metadata.,https://fdc.nal.usda.gov/log/
COV-0009,IFKB-ING-0032,"Chicken breast, skinless, raw","Chicken, breast, boneless, skinless, raw",Foundation,2023-10-12,A,official_name_candidate,No material difference identified.,Retrieve current FDC ID and analytical metadata.,https://fdc.nal.usda.gov/log/
COV-0010,IFKB-ING-0033,"Chicken thigh, skinless, raw","Chicken, thigh, boneless, skinless, raw",Foundation,2023-10-12,A,official_name_candidate,No material difference identified.,Retrieve current FDC ID and analytical metadata.,https://fdc.nal.usda.gov/log/
COV-0011,IFKB-ING-0058,"Eggplant, raw","Eggplant, raw",Foundation,2024-04-18,A,official_name_candidate,No material difference identified.,Retrieve current FDC ID and analytical metadata.,https://fdc.nal.usda.gov/log/
COV-0012,IFKB-ING-0059,"Zucchini, raw","Squash, summer, green, zucchini, includes skin, raw",Foundation,2024-04-18,A,official_name_candidate,IFKB edible-portion definition should explicitly include skin.,Update edible-part facet and retrieve FDC ID.,https://fdc.nal.usda.gov/log/
COV-0013,IFKB-ING-0060,"Celery, raw","Celery, raw",Foundation,2022-10-28,C,official_name_candidate,Official edible part may differ in leaf inclusion.,Retrieve FDC ID and inspect sample/portion description.,https://fdc.nal.usda.gov/log/
COV-0014,IFKB-ING-0061,"Green beans, raw","Beans, snap, green, raw",Foundation,2022-10-28,A,official_name_candidate,No material difference identified.,Retrieve current FDC ID and analytical metadata.,https://fdc.nal.usda.gov/log/
COV-0015,IFKB-ING-0062,"Potatoes, raw","Potatoes, russet/red/gold, without skin, raw",Foundation,2022-10-28,C,official_name_candidate,Multiple cultivars and skin status; IFKB generic record is underspecified.,Create cultivar/skin child records before nutrient import.,https://fdc.nal.usda.gov/log/
COV-0016,IFKB-ING-0063,"Spinach, raw","Spinach, baby / Spinach, mature",Foundation,2021-04-28,C,official_name_candidate,Maturity class is unspecified in IFKB.,Create baby and mature child records.,https://fdc.nal.usda.gov/log/
COV-0017,IFKB-ING-0065,"Cabbage, white, raw","Cabbage, green, raw",Foundation,2022-10-28,C,official_name_candidate,Common-name equivalence requires curator confirmation.,Confirm taxonomy and Iranian market identity.,https://fdc.nal.usda.gov/log/
COV-0018,IFKB-ING-0066,"Carrots, raw","Carrots, mature, raw",Foundation,2022-04-28,C,official_name_candidate,Maturity is more specific than generic carrot.,Retrieve FDC ID and assess whether child identity is needed.,https://fdc.nal.usda.gov/log/
COV-0019,IFKB-ING-0067,"Pumpkin, raw","Squash, pie pumpkin, peeled, seeded, raw",Foundation,2025-04-24,C,official_name_candidate,Cultivar and peeled/seeded state are more specific.,Create pie-pumpkin child record; retrieve FDC ID.,https://fdc.nal.usda.gov/log/
COV-0020,IFKB-ING-0053,"Onions, white, raw","Onions, white, raw",Foundation,current official inventory,A,official_name_candidate,No material difference identified.,Retrieve current FDC ID from official April 2026 release.,https://fdc.nal.usda.gov/log/
COV-0021,IFKB-ING-0055,"Garlic, raw","Garlic, raw",Foundation,current official inventory,A,official_name_candidate,No material difference identified.,Retrieve current FDC ID from official April 2026 release.,https://fdc.nal.usda.gov/log/
COV-0022,IFKB-ING-0056,"Tomatoes, red, raw","Tomato, roma",Foundation,2021-04-28,C,official_name_candidate,Roma cultivar does not represent every red tomato used in Iran.,Create cultivar-specific child record or find broader Foundation item.,https://fdc.nal.usda.gov/log/
COV-0023,IFKB-ING-0077,"Walnuts, raw","Nuts, walnuts, English, halves, raw",Foundation,2022-10-28,C,official_name_candidate,Species and physical form are more specific than generic walnut.,Specify English walnut/kernel form and retrieve FDC ID.,https://fdc.nal.usda.gov/log/
COV-0024,IFKB-ING-0043,"Yogurt, plain, whole milk","Yogurt, plain, whole milk",Foundation,2022-04-28,A,official_name_candidate,No material difference identified at current scope.,Retrieve current FDC ID and analytical metadata.,https://fdc.nal.usda.gov/log/
COV-0025,IFKB-ING-0046,"Cheese, white, brined","Cheese, feta, whole milk, crumbled",Foundation,2022-04-28,C,official_name_candidate,Iranian white brined cheese is not necessarily feta and form differs.,Keep as candidate only; seek Iran FCT/label data.,https://fdc.nal.usda.gov/log/
COV-0026,IFKB-ING-0048,"Cream, heavy","Cream, heavy",Foundation,2022-10-28,A,official_name_candidate,No material difference identified.,Retrieve current FDC ID and analytical metadata.,https://fdc.nal.usda.gov/log/
COV-0027,IFKB-ING-0049,Sunflower oil,"Oil, sunflower",Foundation,2021-04-28,A,official_name_candidate,No material difference identified at generic oil scope.,Retrieve current FDC ID and fatty-acid metadata.,https://fdc.nal.usda.gov/log/
COV-0028,IFKB-ING-0051,Olive oil,"Oil, olive, extra light",Foundation,2021-04-28,C,official_name_candidate,Extra-light refined oil differs from generic/extra-virgin olive oil.,Create oil-type child records; seek extra-virgin match.,https://fdc.nal.usda.gov/log/
COV-0029,IFKB-ING-0080,Raisins,"Raisins, dark/golden, seedless",Foundation,2026-04-30,C,official_name_candidate,Colour/type is unspecified in IFKB generic record.,Create dark and golden child records.,https://fdc.nal.usda.gov/log/
COV-0030,IFKB-ING-0083,"Prunes, dried","Plums, dried (prunes), uncooked",Foundation,2026-04-30,A,official_name_candidate,No material processing-state difference.,Retrieve current FDC ID and analytical metadata.,https://fdc.nal.usda.gov/log/
