canon_id,food_name_fa,acceptance_criteria,reject_examples
IFKB-CANON-00009,قیمه بادمجان,"Both gheimeh stew and eggplant identity must be present or source title explicitly identifies gheimeh bademjan.","Plain khoresh bademjan; generic eggplant stew; gheimeh without eggplant."
IFKB-CANON-00012,چلو سفید,"Plain Persian steamed white rice/chelo, ideally plated or pot-cooked with recognizable separate grains.","Mixed rice, pilaf with vegetables, biryani or generic stock rice photo without Persian context."
IFKB-CANON-00021,باقالی‌پلو با ماهیچه,"Dill/fava-bean rice and lamb shank must both be visible or explicitly named by source.","Baghali polo alone; lamb shank alone; generic rice and meat."
IFKB-CANON-00042,عدسی,"Lentil porridge/soup used as Iranian breakfast; source context or visual consistency required.","Camera products, thin generic lentil soup without Iranian identity."
IFKB-CANON-00045,کله‌پاچه,"Iranian head-and-feet breakfast dish; visible components or explicit source identity.","Khash/paça without Iranian identity; restaurant sign; offal market only."
IFKB-CANON-00047,سمبوسه,"Iranian/Bandari sambooseh identity; triangular fried pastry with source context.","Generic South Asian samosa unless source explicitly identifies Iranian/Bandari variant."
IFKB-CANON-00048,شامی,"Iranian shami patty identity; source or recipe context must distinguish it from South Asian shami kebab.","Generic South Asian shami kebab; unrelated meat patties."
IFKB-CANON-00051,خوراک لوبیا چیتی,"Iranian pinto-bean khorak, typically tomato-based and plated/bowled.","Mexican/Western baked beans; generic bean salad."
IFKB-CANON-00060,الویه,"Iranian Salad Olivieh plate or sandwich; source context should indicate Persian/Iranian form.","Generic Russian Olivier without Iranian context; unrelated potato salad."
IFKB-CANON-00080,ماست,"Plain Iranian yogurt bowl/product with source context.","Fruit yogurt, flavored yogurt, non-Iranian product with no relevance."
IFKB-CANON-00083,ماست چکیده,"Iranian strained yogurt/mast chekideh; product or bowl should be visibly thick and source-contextualized.","Generic labneh only; Greek yogurt without Iranian identity."
IFKB-CANON-00105,قلیه ماهی,"Southern Iranian dark herb/tamarind fish stew; fish and stew context required.","Generic fish curry/stew; grilled fish; shrimp-only ghalieh."
IFKB-CANON-00108,دیزی سنگی,"Dizi served/cooked in a stone pot, or source explicitly identifies dizi sangi.","Restaurant exterior; empty pot; generic abgoosht in non-stone vessel."
IFKB-CANON-00112,اکبرجوجه,"Mazandaran Akbar Joojeh: fried chicken portion, typically saffron rice and pomegranate sauce/context.","Generic fried chicken; roast chicken; restaurant logo only."
IFKB-CANON-00150,دنده کباب,"Kermanshahi/Persian rib kebab with source or regional context.","Generic barbecue ribs; non-Iranian rib dishes."
IFKB-CANON-00162,آش شله قلمکار,"Thick Iranian ash with grain, legumes, herbs and meat; source identity required.","Generic ash/soup; logos; unrelated ceremonial images."
IFKB-CANON-00211,کوکو سیب‌زمینی,"Iranian potato kuku: egg-potato patty/frittata, source or visual context.","Hash browns, potato pancakes without Iranian identity, tortilla española."
