seed_image_id,canon_id,food_name_fa,food_name_en,commons_file_title,commons_page_url,expected_author,expected_license,license_bucket,image_role,identity_review,download_status,dataset_use,attribution_required,share_alike_required,notes
IFKB-W2-00002_C01,IFKB-CANON-00002,خورش کرفس,Persian celery stew,Celery stew.jpg,https://commons.wikimedia.org/wiki/File:Celery_stew.jpg,مانفی,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Persian celery stew with rice and yogurt; segmentation required.
IFKB-W2-00002_C04,IFKB-CANON-00002,خورش کرفس,Persian celery stew,خورش کرفس با مرغ.jpg,https://commons.wikimedia.org/wiki/File:%D8%AE%D9%88%D8%B1%D8%B4_%DA%A9%D8%B1%D9%81%D8%B3_%D8%A8%D8%A7_%D9%85%D8%B1%D8%BA.jpg,Golpeti,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Chicken variant of Persian celery stew.
IFKB-W2-00019_C02,IFKB-CANON-00019,زرشک‌پلو با مرغ,Barberry rice with chicken,Persian rise and chicken (1713672238).jpg,https://commons.wikimedia.org/wiki/File:Persian_rise_and_chicken_(1713672238).jpg,Titanas,CC BY-SA 2.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Barberry rice with chicken visible; segmentation required.
IFKB-W2-00024_C01,IFKB-CANON-00024,کباب برگ,Kebab barg,Iranian barg kebab.jpg,https://commons.wikimedia.org/wiki/File:Iranian_barg_kebab.jpg,Rye-96,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear barg kebab with grilled tomatoes.
IFKB-W2-00025_C02,IFKB-CANON-00025,چنجه,Chenjej kebab,Chenjeh.jpg,https://commons.wikimedia.org/wiki/File:Chenjeh.jpg,مانفی,CC BY-SA 4.0,cc_by_sa,preparation_process,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear chenjeh meat cubes on skewers during grilling.
IFKB-W2-00030_C03,IFKB-CANON-00030,چلوکباب کوبیده,Rice with koobideh kebab,CheloKabab.jpg,https://commons.wikimedia.org/wiki/File:CheloKabab.jpg,Satcreak,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Koobideh with Persian rice and grilled vegetables.
IFKB-W2-00030_C04,IFKB-CANON-00030,چلوکباب کوبیده,Rice with koobideh kebab,Koobideh DSC0005.jpg,https://commons.wikimedia.org/wiki/File:Koobideh_DSC0005.jpg,Atheist,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear koobideh with saffron rice.
IFKB-W2-00033_C01,IFKB-CANON-00033,آش دوغ,Yogurt herb soup,Aash-e doogh (qazvin).jpg,https://commons.wikimedia.org/wiki/File:Aash-e_doogh_(qazvin).jpg,Omid hendupur,CC BY-SA 3.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Qazvin ash-e doogh variant.
IFKB-W2-00033_C04,IFKB-CANON-00033,آش دوغ,Yogurt herb soup,Āsh e doogh.JPG,https://commons.wikimedia.org/wiki/File:%C4%80sh_e_doogh.JPG,MRG90,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear ash doogh bowl with chickpeas and herb garnish.
IFKB-W2-00037_C04,IFKB-CANON-00037,آبگوشت,Abgoosht / dizi,Dizi plate.jpg,https://commons.wikimedia.org/wiki/File:Dizi_plate.jpg,Emesik,CC BY-SA 3.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,"Dizi pot, mashed solids and bread clearly visible."
IFKB-W2-00041_C01,IFKB-CANON-00041,نیمرو,Fried eggs,نیمرو.jpg,https://commons.wikimedia.org/wiki/File:%D9%86%DB%8C%D9%85%D8%B1%D9%88.jpg,Behnam N,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear Iranian fried-egg plate.
IFKB-W2-00043_C01,IFKB-CANON-00043,املت گوجه,Tomato omelet,Iranian omelet.jpg,https://commons.wikimedia.org/wiki/File:Iranian_omelet.jpg,Behnam N,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear Iranian tomato omelet.
IFKB-W2-00049_C01,IFKB-CANON-00049,کتلت,Kotlet,Kotlet (3119520131).jpg,https://commons.wikimedia.org/wiki/File:Kotlet_(3119520131).jpg,dynamosquito from France,CC BY-SA 2.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear Persian kotlet plate.
IFKB-W2-00056_C01,IFKB-CANON-00056,کشک بادمجان,Kashk bademjan,Kashk-o Bademjan.jpg,https://commons.wikimedia.org/wiki/File:Kashk-o_Bademjan.jpg,Rka11111,CC BY-SA 3.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear kashk bademjan.
IFKB-W2-00056_C02,IFKB-CANON-00056,کشک بادمجان,Kashk bademjan,Təbriz Kəşki badımcanı.jpg,https://commons.wikimedia.org/wiki/File:T%C9%99briz_K%C9%99%C5%9Fki_bad%C4%B1mcan%C4%B1.jpg,Orartu,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Tabriz-style regional presentation.
IFKB-W2-00056_C04,IFKB-CANON-00056,کشک بادمجان,Kashk bademjan,Kashk e Baademjaan.jpg,https://commons.wikimedia.org/wiki/File:Kashk_e_Baademjaan.jpg,Sina Salimi,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Kashk bademjan with bread and drink; segmentation required.
IFKB-W2-00059_C02,IFKB-CANON-00059,ماکارونی,Iranian-style macaroni,Cuisine of Iran آشپزی ایرانی 22-ماکارانی با قارچ.jpg,https://commons.wikimedia.org/wiki/File:Cuisine_of_Iran_%D8%A2%D8%B4%D9%BE%D8%B2%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C_22-%D9%85%D8%A7%DA%A9%D8%A7%D8%B1%D8%A7%D9%86%DB%8C_%D8%A8%D8%A7_%D9%82%D8%A7%D8%B1%DA%86.jpg,Mostafameraji,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Iranian macaroni with mushrooms; recipe variant.
IFKB-W2-00062_C01,IFKB-CANON-00062,نان لواش,Lavash bread,Lavash.jpg,https://commons.wikimedia.org/wiki/File:Lavash.jpg,Gaeser,CC BY-SA 3.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Basket of cut lavash-like flatbread; thickness variation.
IFKB-W2-00062_C04,IFKB-CANON-00062,نان لواش,Lavash bread,Lavash Bread.jpg,https://commons.wikimedia.org/wiki/File:Lavash_Bread.jpg,Shams948,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Single lavash sheet.
IFKB-W2-00063_C01,IFKB-CANON-00063,نان تافتون,Taftoon bread,Taftun bread.jpg,https://commons.wikimedia.org/wiki/File:Taftun_bread.jpg,www.theedinburghblog.co.uk,CC BY 2.5,cc_by,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,no,Clear taftoon bread.
IFKB-W2-00064_C01,IFKB-CANON-00064,نان سنگک,Sangak bread,"Sangak bread in Tehran, national bread of Iran. (42426069272).jpg","https://commons.wikimedia.org/wiki/File:Sangak_bread_in_Tehran,_national_bread_of_Iran._(42426069272).jpg","Ninara from Helsinki, Finland",CC BY 2.0,cc_by,cultural_market_context,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,no,Fresh sangak loaves at bakery.
IFKB-W2-00064_C02,IFKB-CANON-00064,نان سنگک,Sangak bread,"Sangak bread in Tehran, national bread of Iran. (40668041370).jpg","https://commons.wikimedia.org/wiki/File:Sangak_bread_in_Tehran,_national_bread_of_Iran._(40668041370).jpg","Ninara from Helsinki, Finland",CC BY 2.0,cc_by,cultural_market_context,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,no,Sangak bread handling; same bakery series.
IFKB-W2-00065_C02,IFKB-CANON-00065,نان بربری,Barbari bread,Barbari bread 03.jpg,https://commons.wikimedia.org/wiki/File:Barbari_bread_03.jpg,Abolfazl Arabjavadi,CC BY 4.0,cc_by,cultural_market_context,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,no,Large barbari loaf at bakery.
IFKB-W2-00065_C03,IFKB-CANON-00065,نان بربری,Barbari bread,Barbari bread 01.jpg,https://commons.wikimedia.org/wiki/File:Barbari_bread_01.jpg,Abolfazl Arabjavadi,CC BY 4.0,cc_by,cultural_market_context,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,no,Multiple barbari loaves at bakery.
IFKB-W2-00077_C04,IFKB-CANON-00077,دوغ,Doogh yogurt drink,Doogh in Ankara.jpg,https://commons.wikimedia.org/wiki/File:Doogh_in_Ankara.jpg,E4024,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear glass of doogh with dried mint.
IFKB-W2-00079_C03,IFKB-CANON-00079,کشک,Kashk,Kashk.JPG,https://commons.wikimedia.org/wiki/File:Kashk.JPG,Tuninait,CC BY-SA 4.0,cc_by_sa,ingredient_product,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear kashk product texture.
IFKB-W2-00150_C01,IFKB-CANON-00150,کباب بناب,Bonab kebab,Iranian Kabab Koobideh (Bonab style).jpg,https://commons.wikimedia.org/wiki/File:Iranian_Kabab_Koobideh_(Bonab_style).jpg,Vathlu,CC BY-SA 3.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear Bonab-style kebab.
IFKB-W2-00187_C02,IFKB-CANON-00187,کوفته تبریزی,Tabrizi koofteh,Koofteh tabrizi.jpg,https://commons.wikimedia.org/wiki/File:Koofteh_tabrizi.jpg,Fabienkhan,CC BY-SA 2.5,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear koofteh Tabrizi plate.
IFKB-W2-00187_C03,IFKB-CANON-00187,کوفته تبریزی,Tabrizi koofteh,Kufteh2.png,https://commons.wikimedia.org/wiki/File:Kufteh2.png,F4fluids,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Single large koofteh with side soup; same serving series as C04.
IFKB-W2-00211_C02,IFKB-CANON-00211,بریانی اصفهان,Isfahan beryani,Isfahan in june 2019 by Mardetanha (59) result.jpg,https://commons.wikimedia.org/wiki/File:Isfahan_in_june_2019_by_Mardetanha_(59)_result.jpg,Mardetanha,CC BY-SA 4.0,cc_by_sa,served_final,approved,queued_github_action,identity/retrieval/segmentation only; not nutrition gold,yes,yes,Clear Isfahan beryani serving.
