canon_id,food_name_fa,food_name_en,category,region,query_primary,query_secondary,negative_terms,candidate_limit
IFKB-CANON-00002,خورش کرفس,Persian celery stew,stew,Iran,khoresh karafs Persian celery stew,خورش کرفس,celery soup|raw celery,4
IFKB-CANON-00009,قیمه بادمجان,Gheimeh eggplant stew,stew,Iran,gheimeh bademjan Persian eggplant stew,قیمه بادمجان,eggplant raw|gheymeh only,4
IFKB-CANON-00012,چلو سفید,Plain Persian rice,rice,Iran,chelo Persian white rice,Persian steamed rice chelo,uncooked rice|rice field,4
IFKB-CANON-00019,زرشک‌پلو با مرغ,Barberry rice with chicken,rice,Iran,zereshk polo ba morgh,barberry rice chicken Persian,barberry only|raw chicken,4
IFKB-CANON-00020,ته‌چین مرغ,Chicken tahchin,rice,Iran,tahchin morgh chicken,Persian chicken tahchin,cake dessert,4
IFKB-CANON-00021,باقالی‌پلو با ماهیچه,Fava bean rice with lamb shank,rice,Iran,baghali polo ba mahicheh,fava bean rice lamb shank Persian,fava beans raw,4
IFKB-CANON-00024,کباب برگ,Kebab barg,kebab,Iran,kabab barg Persian,kebab barg Iran,doner|shawarma,4
IFKB-CANON-00025,چنجه,Chenjej kebab,kebab,Iran,chenjeh kebab Persian,chenje kabab Iran,doner|shawarma,4
IFKB-CANON-00029,شیشلیک,Shishlik,kebab,Iran,shishlik Persian ribs,Iranian shishlik kebab,generic shashlik,4
IFKB-CANON-00030,چلوکباب کوبیده,Rice with koobideh kebab,kebab,Iran,chelo kabab koobideh,Persian rice koobideh kebab,doner,4
IFKB-CANON-00033,آش دوغ,Yogurt herb soup,soup,Iran,ash doogh Iranian yogurt soup,آش دوغ,drink doogh only,4
IFKB-CANON-00037,آبگوشت,Abgoosht / dizi,soup,Iran,abgoosht Persian dizi,Iranian abgoosht,raw meat,4
IFKB-CANON-00041,نیمرو,Fried eggs,breakfast,Iran,Persian fried eggs breakfast,نیمرو ایرانی,egg carton,4
IFKB-CANON-00042,عدسی,Lentil stew,breakfast,Iran,adasi Persian lentil stew,Iranian lentil breakfast adasi,dry lentils,4
IFKB-CANON-00043,املت گوجه,Tomato omelet,breakfast,Iran,Persian tomato omelette,Iranian tomato omelet,raw tomato,4
IFKB-CANON-00045,کله‌پاچه,Kaleh pacheh,breakfast,Iran,kaleh pacheh Iranian,کله پاچه,animal head raw,4
IFKB-CANON-00046,کوکو سبزی,Kuku sabzi,street_food,Iran,kuku sabzi Persian,Persian herb frittata,raw herbs,4
IFKB-CANON-00047,سمبوسه,Samosa,street_food,Iran,Iranian sambuseh,Persian samosa,Indian samosa only,4
IFKB-CANON-00048,شامی,Shami patty,street_food,Iran,shami kabab Persian patty,Iranian shami patty,Syrian shami,4
IFKB-CANON-00049,کتلت,Kotlet,street_food,Iran,Persian kotlet,Iranian meat potato cutlet,generic cutlet,4
IFKB-CANON-00050,دلمه برگ مو,Stuffed grape leaves,street_food,Iran,Persian dolmeh grape leaves,Iranian stuffed grape leaves,raw grape leaves,4
