ingredient_id,name_fa,name_en,food_group,default_state,priority,intended_recipe_families,current_match_status,match_quality,evidence_grade,review_status
IFKB-ING-0001,برنج سفید دانه‌بلند خام,"Rice, white, long-grain, raw",grain,raw,P0,rice dishes|plain rice|tahdig,unmatched,U,E,planned
IFKB-ING-0002,برنج سفید دانه‌بلند پخته,"Rice, white, long-grain, cooked",grain,cooked,P0,chelo|polo|serving conversion,unmatched,U,E,planned
IFKB-ING-0003,برنج باسماتی خام,"Basmati rice, raw",grain,raw,P1,rice dishes,unmatched,U,E,planned
IFKB-ING-0004,آرد گندم سفید,"Wheat flour, white",grain_flour,raw,P0,bread|halva|pastry|thickening,unmatched,U,E,planned
IFKB-ING-0005,آرد گندم کامل,Whole-wheat flour,grain_flour,raw,P1,traditional bread,unmatched,U,E,planned
IFKB-ING-0006,جو پوست‌کنده خشک,"Barley, pearled, dry",grain,raw,P0,barley soup|ash,unmatched,U,E,planned
IFKB-ING-0007,جو پوست‌کنده پخته,"Barley, pearled, cooked",grain,cooked,P1,barley soup,unmatched,U,E,planned
IFKB-ING-0008,بلغور گندم خشک,"Bulgur, dry",grain,raw,P1,ash|regional dishes,unmatched,U,E,planned
IFKB-ING-0009,رشته آش خشک,"Ash noodles, dry",grain_product,dry,P0,ash reshteh,unmatched,U,E,planned
IFKB-ING-0010,ماکارونی خشک,"Pasta, dry",grain_product,dry,P1,Iranian macaroni,unmatched,U,E,planned
IFKB-ING-0011,نان لواش,Lavash bread,bread,as_sold,P0,breakfast|sandwich|serving,unmatched,U,E,planned
IFKB-ING-0012,نان تافتون,Taftoon bread,bread,as_sold,P1,breakfast|serving,unmatched,U,E,planned
IFKB-ING-0013,نان سنگک,Sangak bread,bread,as_sold,P0,breakfast|serving,unmatched,U,E,planned
IFKB-ING-0014,نان بربری,Barbari bread,bread,as_sold,P0,breakfast|serving,unmatched,U,E,planned
IFKB-ING-0015,عدس خشک,"Lentils, brown, dry",legume,raw_dry,P0,adasi|adas polo|soups,unmatched,U,E,planned
IFKB-ING-0016,عدس پخته,"Lentils, cooked",legume,cooked,P0,adasi|adas polo|serving,unmatched,U,E,planned
IFKB-ING-0017,لپه زرد خشک,"Split peas, yellow, dry",legume,raw_dry,P0,gheimeh,unmatched,U,E,planned
IFKB-ING-0018,نخود خشک,"Chickpeas, dry",legume,raw_dry,P0,abgoosht|falafel|ash,unmatched,U,E,planned
IFKB-ING-0019,نخود پخته,"Chickpeas, cooked",legume,cooked,P1,abgoosht|ash|serving,unmatched,U,E,planned
IFKB-ING-0020,لوبیا قرمز خشک,"Kidney beans, red, dry",legume,raw_dry,P0,ghormeh sabzi|ash,unmatched,U,E,planned
IFKB-ING-0021,لوبیا قرمز پخته,"Kidney beans, red, cooked",legume,cooked,P0,ghormeh sabzi|serving,unmatched,U,E,planned
IFKB-ING-0022,لوبیا چیتی خشک,"Pinto beans, dry",legume,raw_dry,P0,loobia chiti|ash,unmatched,U,E,planned
IFKB-ING-0023,لوبیا چیتی پخته,"Pinto beans, cooked",legume,cooked,P1,loobia chiti|serving,unmatched,U,E,planned
IFKB-ING-0024,باقلا خشک,"Fava beans, dry",legume,raw_dry,P1,baghali polo|regional dishes,unmatched,U,E,planned
IFKB-ING-0025,باقلا پخته,"Fava beans, cooked",legume,cooked,P0,baghali polo,unmatched,U,E,planned
IFKB-ING-0026,لوبیا چشم‌بلبلی خشک,"Black-eyed peas, dry",legume,raw_dry,P1,regional rice|ash,unmatched,U,E,planned
IFKB-ING-0027,گوشت گاو کم‌چرب خام,"Beef, lean, raw",meat,raw,P0,stews|kebab|kotlet,unmatched,U,E,planned
