canonId,batchId,appProfileId,nameFa,nameEn,category,readinessStatus,workstream,priorityScore
IFKB-CANON-00084,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00084,خورش غوره مسما,Ghooreh mosama stew,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00097,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00097,قیمه یزدی,Yazdi gheimeh,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00109,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00109,کله جوش,Kaleh joosh kashk dish,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00121,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00121,سبزی پلو با ماهی,Herb rice with fish,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00133,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00133,هواری ماهی,Havari mahi fish rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00145,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00145,رشته پلو اردبیلی,Ardabili reshteh polo,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00157,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00157,کباب حسینی,Hosseini skewered meat,kebab,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00169,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00169,آش جو,Barley ash,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00181,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00181,سوپ مرغ,Chicken soup,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00193,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00193,دلمه کلم,Stuffed cabbage,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00205,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00205,ترشی هفت‌بیجار,Haft bijar pickle,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00218,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00218,کشک زرد,Kashk zard fermented porridge,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00237,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00237,نان برنجی,Nan berenji rice cookie,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00249,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00249,کماچ سهن,Komaj sehen,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00222,IRANIAN-BATCH-01,iranian-fallback-ifkb-canon-00222,نان تیری,Tiri thin bread,bread,ds0_broad_fallback,acquire_sources_and_recipe_profile,120
IFKB-CANON-00028,IRANIAN-BATCH-01,iranian-kebab-koobideh,کباب کوبیده,Koobideh kebab,kebab,ds2_consensus_blocked,finish_ds2_normalization,105
IFKB-CANON-00014,IRANIAN-BATCH-01,iranian-baghali-polo-plain,شوید باقالی‌پلو,Dill fava bean rice,rice,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00026,IRANIAN-BATCH-01,iranian-kebab-torsh,کباب ترش,Torsh kebab,kebab,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00047,IRANIAN-BATCH-01,iranian-samboseh,سمبوسه,Samosa,street_food,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00059,IRANIAN-BATCH-01,iranian-macaroni-iranian,ماکارونی,Iranian-style macaroni,street_food,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00039,IRANIAN-BATCH-01,iranian-halva-ardeh,حلوا ارده,Tahini halva,breakfast,legacy_estimate,review_legacy_estimate,55
IFKB-CANON-00079,IRANIAN-BATCH-01,iranian-kashk,کشک,Kashk,dairy_beverage,legacy_estimate,review_legacy_estimate,55
IFKB-CANON-00085,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00085,آلو مسما,Aloo mosama stew,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00098,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00098,قیمه بوشهری,Bushehri gheimeh,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00110,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00110,کشک کدو,Kashk kadoo,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00122,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00122,رشته پلو,Reshteh polo noodle rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00134,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00134,هواری میگو,Havari meygoo shrimp rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00146,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00146,سوتی پلو,Sooti polo milk rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00158,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00158,کباب سرداشی,Hamedani sardashi kebab,kebab,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00170,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00170,آش اوماج,Omaj ash,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00182,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00182,حلیم گندم,Wheat halim,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00194,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00194,دلمه بادمجان,Stuffed eggplant,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00206,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00206,شور مخلوط,Mixed salted pickles,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00226,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00226,مسقطی,Masghati starch sweet,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00238,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00238,کاک,Kak pastry,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00250,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00250,لندو,Landu date wheat sweet,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00223,IRANIAN-BATCH-02,iranian-fallback-ifkb-canon-00223,نان تموشی,Tomoshi bread,bread,ds0_broad_fallback,acquire_sources_and_recipe_profile,120
IFKB-CANON-00001,IRANIAN-BATCH-02,iranian-khoresh-kadoo,خورش کدو,Persian zucchini stew,stew,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00015,IRANIAN-BATCH-02,iranian-estamboli-polo,استانبولی پلو,Estamboli polo,rice,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00027,IRANIAN-BATCH-02,iranian-kebab-bakhtiari,کباب بختیاری,Bakhtiari kebab,kebab,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00048,IRANIAN-BATCH-02,iranian-shami,شامی,Shami patty,street_food,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00060,IRANIAN-BATCH-02,iranian-olivieh-sandwich,الویه,Olivieh sandwich,street_food,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00040,IRANIAN-BATCH-02,iranian-bread-cheese-tea,نان و پنیر و چای,"Bread, cheese and tea",breakfast,legacy_estimate,review_legacy_estimate,55
IFKB-CANON-00080,IRANIAN-BATCH-02,iranian-mast,ماست,Yogurt,dairy_beverage,legacy_estimate,review_legacy_estimate,55
IFKB-CANON-00086,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00086,آغوز مسما,Aghouz mosama walnut stew,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00099,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00099,بزقرمه,Boz ghormeh goat and kashk stew,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00111,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00111,دوپیازه آلو,Shirazi potato do piyazeh,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00123,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00123,شیرین پلو,Shirin polo sweet rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00135,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00135,امگشت,Amgesht fish rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00147,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00147,برنج دیشو,Disho rice with date syrup,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00159,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00159,کوبیده مرغ,Chicken koobideh,kebab,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00171,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00171,آش شولی,Shooli ash,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00183,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00183,شلمین,Shalmin fermented ash,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00195,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00195,دلمه گوجه‌فرنگی,Stuffed tomato,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00207,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00207,مهیاوه,Mahyaveh fermented fish sauce,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00227,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00227,سوهان,Sohan,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00239,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00239,نان خرمایی,Date-filled pastry,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00251,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00251,نان چایی,Qazvin tea biscuit,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00224,IRANIAN-BATCH-03,iranian-fallback-ifkb-canon-00224,فطیر,Fatir bread,bread,ds0_broad_fallback,acquire_sources_and_recipe_profile,120
IFKB-CANON-00002,IRANIAN-BATCH-03,iranian-khoresh-karafs,خورش کرفس,Persian celery stew,stew,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00016,IRANIAN-BATCH-03,iranian-adas-polo,عدس پلو,Lentil rice,rice,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00029,IRANIAN-BATCH-03,iranian-shishlik,شیشلیک,Shishlik,kebab,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00049,IRANIAN-BATCH-03,iranian-kotlet,کتلت,Kotlet,street_food,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00061,IRANIAN-BATCH-03,iranian-falafel-sandwich,فلافل,Falafel sandwich,street_food,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00041,IRANIAN-BATCH-03,iranian-nimroo,نیمرو,Fried eggs,breakfast,legacy_estimate,review_legacy_estimate,55
