rule_id,domain,rule_name,condition_or_formula,severity,automated_action,manual_requirement,method_source_url
QA-ID-001,identity,Unique stable IDs,"food_id, ingredient_id, observation_id and source_id must be globally unique.",critical,reject duplicate,Resolve identity collision,https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-SRC-001,provenance,Source required,"Every nutrient observation must have source_id, source_record_id or explicit reason unavailable, and pinned release.",critical,reject observation,Verify source metadata,https://fdc.nal.usda.gov/download-datasets/
QA-LIC-001,licensing,Distribution permission,Restricted/unknown licences cannot enter distributable release.,critical,quarantine source,Obtain written permission,https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-MIS-001,missingness,Missing is not zero,"Blank, trace, below detection limit, not analysed and true zero are separate states.",critical,reject silent zero-fill,Assign missing-value state,https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-BAS-001,basis,Standard basis,Canonical nutrient values use per 100 g edible portion; other bases require a linked weight.,critical,quarantine unsupported basis,Document conversion and edible portion,https://fdc.nal.usda.gov/data-documentation/
QA-UNIT-001,units,Canonical units,Energy kcal/kJ distinguished; macro g; minerals mg or µg; no implicit conversion.,critical,reject unknown units,Resolve unit from source metadata,https://fdc.nal.usda.gov/download-datasets/
QA-EN-001,energy,Recalculate energy in IFKB,Default screening: 4×protein + 4×available carbohydrate + 9×fat + 2×fibre; source-specific factors override only when documented.,high,calculate screening energy,Record equation and factors,https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-EN-002,energy,Energy agreement pass,Absolute difference between reported and calculated energy ≤5%.,medium,pass screening,Check special energy contributors if needed,https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-EN-003,energy,Energy agreement review,Difference >5% and ≤10%.,high,flag review,"Inspect carbohydrate definition, alcohol, organic acids and fibre factors",https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-EN-004,energy,Energy agreement failure,Difference >10%.,critical,quarantine observation,"Resolve unit, column, food identity or derivation error",https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-PROX-001,plausibility,Preferred proximate sum,Water + protein + fat + available carbohydrate + fibre + ash should generally be 97–103 g/100 g.,medium,pass preferred band,Review method-specific exceptions,https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-PROX-002,plausibility,Acceptable proximate sum,95–105 g/100 g is the broader acceptance band.,high,flag outside band,Investigate missing components or analytical methods,https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-RNG-001,plausibility,Macronutrient range,"Protein, fat, carbohydrate, fibre and water each must be 0–100 g/100 g; negatives are invalid.",critical,reject invalid range,Correct unit or source mapping,https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-STATE-001,food matching,Preparation state exactness,"Raw and cooked, drained and undrained, salted and unsalted, peeled and unpeeled are distinct records.",critical,prevent automatic merge,Curator must approve mapping,https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-MATCH-001,food matching,Never copy energy alone,"A food match must import/review the nutrient profile and identity metadata, not only calories.",critical,reject calorie-only import,Document match quality,https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-PORT-001,portion,Portion gram weight,Every household measure used for scaling requires a measured or authoritative gram weight.,high,block per-serving publication,Measure or source weight,https://fdc.nal.usda.gov/data-documentation/
QA-REC-001,recipe,Cooked yield required,Mixed-dish calculation requires raw edible ingredient weights and final cooked edible yield.,critical,block recipe calculation,Record batch and yield measurement,https://www.fao.org/infoods/infoods/recipes/en/
QA-REC-002,recipe,Retention factors required,Heat-sensitive nutrient calculations require an identified retention-factor set; macros still retain method metadata.,high,flag incomplete recipe,Select factor set and cooking method,https://www.fao.org/infoods/infoods/recipes/en/
QA-REV-001,review,Independent review,Automated checks do not replace second-person scientific review for promoted records.,critical,keep status in_review,Named reviewer and review date required,https://www.fao.org/infoods/infoods/standards-guidelines/en/
QA-REL-001,release,Immutable release,A published record is not overwritten; corrections produce a new version and changelog entry.,critical,block in-place release edits,Create new release manifest,https://www.fao.org/infoods/infoods/standards-guidelines/en/
