variant_id,fdc_id,description,match_quality,current_evidence_candidate,iran_applicability,review_tier,review_decision,review_readiness_score,assistant_review_status,independent_review_status,restriction,source_url
IFKB-ING-0001,2512381,"Rice, white, long grain, unenriched, raw",C,C-candidate,medium,R2,conditional_reference,86,pass_1_complete,pending,"Do not label as Iranian rice; create Hashemi, Tarem, Sadri and imported basmati variants when data exist.",https://fdc.nal.usda.gov/fdc-app.html#/food/2512381/full
IFKB-ING-0008,2710820,"Bulgur, dry, raw",A,B-candidate,high,R1,research_reference_ready,95,pass_1_complete,pending,Cultivar and milling differences remain possible.,https://fdc.nal.usda.gov/fdc-app.html#/food/2710820/full
IFKB-ING-0015,2644283,"Lentils, dry",C,C-candidate,medium,R2,conditional_reference,81,pass_1_complete,pending,Use only as generic lentil fallback until colour/cultivar-specific data are obtained.,https://fdc.nal.usda.gov/fdc-app.html#/food/2644283/full
IFKB-ING-0018,2644282,"Chickpeas, (garbanzo beans, bengal gram), dry",A,B-candidate,high,R1,research_reference_ready,95,pass_1_complete,pending,Iranian cultivar and storage moisture may shift values.,https://fdc.nal.usda.gov/fdc-app.html#/food/2644282/full
IFKB-ING-0026,2644284,"Blackeye pea, dry",A,B-candidate,high,R1,research_reference_ready,95,pass_1_complete,pending,Cultivar and harvest conditions remain external sources of variability.,https://fdc.nal.usda.gov/fdc-app.html#/food/2644284/full
IFKB-ING-0030,2514743,"Beef, ground, 90% lean meat / 10% fat, raw",C,C-candidate,low,R3,context_specific_only,77,pass_1_complete,pending,Use only when the recipe explicitly specifies approximately 10% fat.,https://fdc.nal.usda.gov/fdc-app.html#/food/2514743/full
IFKB-ING-0029,2727570,"Lamb, ground, raw",A,B-candidate,medium,R2,conditional_reference,83,pass_1_complete,pending,Recipe calculations must model fat-level scenarios.,https://fdc.nal.usda.gov/fdc-app.html#/food/2727570/full
IFKB-ING-0032,2646170,"Chicken, breast, boneless, skinless, raw",A,B-candidate,high,R1,research_reference_ready,95,pass_1_complete,pending,Iranian production system and trimming may alter composition.,https://fdc.nal.usda.gov/fdc-app.html#/food/2646170/full
IFKB-ING-0033,2646171,"Chicken, thigh, boneless, skinless, raw",A,B-candidate,high,R1,research_reference_ready,95,pass_1_complete,pending,Iranian production system and trimming may alter composition.,https://fdc.nal.usda.gov/fdc-app.html#/food/2646171/full
IFKB-ING-0058,2685577,"Eggplant, raw",A,B-candidate,high,R1,research_reference_ready,95,pass_1_complete,pending,Cultivar size and seed maturity may vary.,https://fdc.nal.usda.gov/fdc-app.html#/food/2685577/full
IFKB-ING-0059,2685568,"Squash, summer, green, zucchini, includes skin, raw",A,B-candidate,high,R1,research_reference_ready,95,pass_1_complete,pending,Iranian local squash cultivars should remain separate.,https://fdc.nal.usda.gov/fdc-app.html#/food/2685568/full
IFKB-ING-0060,2346405,"Celery, raw",C,C-candidate,medium,R2,conditional_reference,81,pass_1_complete,pending,Create stalk-only and leaf-inclusive recipe ingredient variants.,https://fdc.nal.usda.gov/fdc-app.html#/food/2346405/full
IFKB-ING-0061,2346400,"Beans, snap, green, raw",A,B-candidate,high,R1,research_reference_ready,100,pass_1_complete,pending,Cultivar and maturity may vary.,https://fdc.nal.usda.gov/fdc-app.html#/food/2346400/full
IFKB-ING-0062-RUSSET,2346401,"Potatoes, russet, without skin, raw",A,B-candidate,medium,R2,conditional_reference,96,pass_1_complete,pending,Do not average with red/gold or use as generic Iranian potato.,https://fdc.nal.usda.gov/fdc-app.html#/food/2346401/full
IFKB-ING-0062-RED,2346402,"Potatoes, red, without skin, raw",A,B-candidate,medium,R2,conditional_reference,96,pass_1_complete,pending,Do not average with russet/gold or use as generic Iranian potato.,https://fdc.nal.usda.gov/fdc-app.html#/food/2346402/full
IFKB-ING-0062-GOLD,2346403,"Potatoes, gold, without skin, raw",A,B-candidate,medium,R2,conditional_reference,96,pass_1_complete,pending,Do not average with russet/red or use as generic Iranian potato.,https://fdc.nal.usda.gov/fdc-app.html#/food/2346403/full
IFKB-ING-0063-BABY,1999632,"Spinach, baby",A,B-candidate,low,R3,context_specific_only,92,pass_1_complete,pending,Keep as a distinct salad/young-leaf ingredient.,https://fdc.nal.usda.gov/fdc-app.html#/food/1999632/full
IFKB-ING-0063-MATURE,1999633,"Spinach, mature",A,B-candidate,medium,R2,conditional_reference,96,pass_1_complete,pending,Cooking yield and retention must be handled at recipe level.,https://fdc.nal.usda.gov/fdc-app.html#/food/1999633/full
IFKB-ING-0065,2346407,"Cabbage, green, raw",C,C-candidate,medium,R2,conditional_reference,81,pass_1_complete,pending,Retain as green cabbage; do not silently relabel as white cabbage.,https://fdc.nal.usda.gov/fdc-app.html#/food/2346407/full
IFKB-ING-0066,2258586,"Carrots, mature, raw",C,C-candidate,medium,R2,conditional_reference,81,pass_1_complete,pending,Cultivar and maturity differences remain.,https://fdc.nal.usda.gov/fdc-app.html#/food/2258586/full
IFKB-ING-0053,1104962,"Onions, white, raw",A,B-candidate,high,R1,research_reference_ready,92,pass_1_complete,pending,Iranian recipes may use yellow/red onion; keep separate records.,https://fdc.nal.usda.gov/fdc-app.html#/food/1104962/full
IFKB-ING-0055,1104647,"Garlic, raw",A,B-candidate,high,R1,research_reference_ready,87,pass_1_complete,pending,Cultivar and dry-matter content may vary.,https://fdc.nal.usda.gov/fdc-app.html#/food/1104647/full
IFKB-ING-0056,1999634,"Tomato, roma",C,C-candidate,low,R3,context_specific_only,82,pass_1_complete,pending,Use only for Roma-like tomatoes or as a temporary model scenario.,https://fdc.nal.usda.gov/fdc-app.html#/food/1999634/full
IFKB-ING-0077,2346394,"Nuts, walnuts, English, halves, raw",C,C-candidate,medium,R2,conditional_reference,86,pass_1_complete,pending,Iranian cultivar and moisture/oil composition should be validated locally.,https://fdc.nal.usda.gov/fdc-app.html#/food/2346394/full
IFKB-ING-0043,2259793,"Yogurt, plain, whole milk",A,B-candidate,medium,R2,conditional_reference,96,pass_1_complete,pending,"Iranian yogurt solids, fat percentage, fermentation and salt vary materially.",https://fdc.nal.usda.gov/fdc-app.html#/food/2259793/full
IFKB-ING-0046,2259796,"Cheese, feta, whole milk, crumbled",C,C-candidate,low,R3,context_specific_only,82,pass_1_complete,pending,Do not use for Iranian cheese; obtain Iran FCT or manufacturer label data.,https://fdc.nal.usda.gov/fdc-app.html#/food/2259796/full
IFKB-ING-0048,2346386,"Cream, heavy",A,B-candidate,medium,R2,conditional_reference,96,pass_1_complete,pending,Require product fat percentage or Iranian label data before recipe use.,https://fdc.nal.usda.gov/fdc-app.html#/food/2346386/full
