candidate_id,canon_id,food_name_fa,food_name_en,title,page_url,original_url,candidate_url,mime,width,height,source_size_bytes,commons_sha1,artist,credit,license_short_name,license_url,license_bucket,image_description,local_relative_path,local_sha256,decoded_width,decoded_height,downloaded_size_bytes,identity_review,image_role,dataset_use,identity_reference_allowed,nutrition_gold_allowed,automatic_identity_approval_allowed,split_group_id,selection_basis,reviewer,review_date_utc,recovery_method,source_artifact_id,source_artifact_digest
IFKB-CANON-00046-C02,IFKB-CANON-00046,کوکو سبزی,Kuku sabzi,File:Kookoo-sabzi-3.JPG,https://commons.wikimedia.org/wiki/File:Kookoo-sabzi-3.JPG,https://upload.wikimedia.org/wikipedia/commons/3/35/Kookoo-sabzi-3.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Kookoo-sabzi-3.JPG/1280px-Kookoo-sabzi-3.JPG,image/jpeg,4000,3000,3683769,b3754681ae64453839a0df178a103abbe00b63e4,Aron ( عارون ),Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,cc_by_sa,Koko Sabzhi is very good with Nan Sandwich,candidates/IFKB-CANON-00046/IFKB-CANON-00046-C02-kookoo-sabzi-3-jpg.jpg,401e975369f6304fc95daad93f7821b76c157ebe12fb9ead62f17346920d9826,1280,960,418086,approved,served_final,identity_retrieval_reference,yes,no,no,commons-aron-kookoo-sabzi-3,Exact Kuku sabzi title and visible finished dish; retained as one identity reference.,assistant_visual_review_pass_2,2026-07-30T00:01:00Z,stage2_readjudication_from_retained_artifact,8634119409,sha256:e8707801495ec76655d0fffe564aab5013610a7316de87ef4f7500d4beaa1a8f
IFKB-CANON-00050-C04,IFKB-CANON-00050,دلمه برگ مو,Stuffed grape leaves,File:Dolmeh Barg-e Mo 02.jpg,https://commons.wikimedia.org/wiki/File:Dolmeh_Barg-e_Mo_02.jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/Dolmeh_Barg-e_Mo_02.jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/Dolmeh_Barg-e_Mo_02.jpg,image/jpeg,1050,700,222577,8f47196006504ca3c230219e99df10c0b045969f,Ali Abak,https://www.farsnews.com/photo/13980424000026/فصل-دلمه‌های-پردردسر-در-سمنان,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,cc_by,دلمه برگ مو,candidates/IFKB-CANON-00050/IFKB-CANON-00050-C04-dolmeh-barg-e-mo-02-jpg.jpg,30c0bc9769342f31663e69110664d53adc7c8017ed82ea181621032cd567fe2d,1050,700,192850,approved,preparation_process,preparation_context_only,yes_as_preparation_context,no,no,fars-dolmeh-barg-e-mo-preparation-series,"Exact Dolmeh Barg-e Mo source, but frame shows rice and grape leaves before assembly; not a served-final identity image.",assistant_visual_review_pass_2,2026-07-30T00:01:00Z,stage2_readjudication_from_retained_artifact,8634119409,sha256:e8707801495ec76655d0fffe564aab5013610a7316de87ef4f7500d4beaa1a8f
IFKB-CANON-00119-C01,IFKB-CANON-00119,قیمه نثار,Gheimeh nesar,File:Gheame-nesar 3.jpg,https://commons.wikimedia.org/wiki/File:Gheame-nesar_3.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Gheame-nesar_3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Gheame-nesar_3.jpg/1280px-Gheame-nesar_3.jpg,image/jpeg,2048,1536,960969,5db006ab01ac9b4e7ddfb005027898ee3eb521e2,Omid hendupur,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,cc_by_sa,قیمه نثار ، معروف ترین غذای سنتی شهر قزوین,candidates/IFKB-CANON-00119/IFKB-CANON-00119-C01-gheame-nesar-3-jpg.jpg,770550e7b2a8e06b53a6a95b450a38d2e31fe3e1147fb423eb97b50f98344aa1,1280,960,307347,approved,served_final,identity_retrieval_reference,yes,no,no,commons-omid-hendupur-gheimeh-nesar-series,"Exact Gheimeh nesar title and description; same serving/session as C02/C03, locked to one split group.",assistant_visual_review_pass_2,2026-07-30T00:01:00Z,stage2_readjudication_from_retained_artifact,8634119409,sha256:e8707801495ec76655d0fffe564aab5013610a7316de87ef4f7500d4beaa1a8f
IFKB-CANON-00119-C02,IFKB-CANON-00119,قیمه نثار,Gheimeh nesar,File:Gheame-nesar1.jpg,https://commons.wikimedia.org/wiki/File:Gheame-nesar1.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Gheame-nesar1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Gheame-nesar1.jpg/1280px-Gheame-nesar1.jpg,image/jpeg,2048,1536,1191922,b68fdfc15b84b7802fbf3645fa9f0a9c44875be7,Omid hendupur,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,cc_by_sa,قیمه نثار ، معروف ترین غذای سنتی شهر قزوین,candidates/IFKB-CANON-00119/IFKB-CANON-00119-C02-gheame-nesar1-jpg.jpg,c067c447f92ed21958fc2d0a788e2c12e65031b0ceed0ec7a9d40c6ef4fb80cf,1280,960,375108,approved,served_final,identity_retrieval_reference,yes,no,no,commons-omid-hendupur-gheimeh-nesar-series,"Exact Gheimeh nesar title and description; same serving/session as C01/C03, locked to one split group.",assistant_visual_review_pass_2,2026-07-30T00:01:00Z,stage2_readjudication_from_retained_artifact,8634119409,sha256:e8707801495ec76655d0fffe564aab5013610a7316de87ef4f7500d4beaa1a8f
IFKB-CANON-00119-C03,IFKB-CANON-00119,قیمه نثار,Gheimeh nesar,File:Gheame-nesar2.jpg,https://commons.wikimedia.org/wiki/File:Gheame-nesar2.jpg,https://upload.wikimedia.org/wikipedia/commons/8/83/Gheame-nesar2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Gheame-nesar2.jpg/1280px-Gheame-nesar2.jpg,image/jpeg,2048,1536,1075963,21ccca6576b5e830db22f565354726f3a78fe231,Omid hendupur,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,cc_by_sa,قیمه نثار ، معروف ترین غذای سنتی شهر قزوین,candidates/IFKB-CANON-00119/IFKB-CANON-00119-C03-gheame-nesar2-jpg.jpg,d04bf4e18f5d2bca3cbadc40f05ed6c16d78b78ee42a74d0f88f9081c77a14a1,1280,960,335570,approved,served_final,identity_retrieval_reference,yes,no,no,commons-omid-hendupur-gheimeh-nesar-series,"Exact Gheimeh nesar title and description; same serving/session as C01/C02, locked to one split group.",assistant_visual_review_pass_2,2026-07-30T00:01:00Z,stage2_readjudication_from_retained_artifact,8634119409,sha256:e8707801495ec76655d0fffe564aab5013610a7316de87ef4f7500d4beaa1a8f
IFKB-CANON-00120-C01,IFKB-CANON-00120,کلم پلو شیرازی,Shirazi cabbage rice,File:کلم . پلو.jpg,https://commons.wikimedia.org/wiki/File:%DA%A9%D9%84%D9%85_._%D9%BE%D9%84%D9%88.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/%DA%A9%D9%84%D9%85_._%D9%BE%D9%84%D9%88.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/%DA%A9%D9%84%D9%85_._%D9%BE%D9%84%D9%88.jpg/1280px-%DA%A9%D9%84%D9%85_._%D9%BE%D9%84%D9%88.jpg,image/jpeg,4000,6000,6614213,a7fa4ce2c6ff7fd8bb53a263c88f4fa449a4e21c,Mahrokh.vz,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,cc_by_sa,کلم پلو شیرازی و سالاد شیرازی,candidates/IFKB-CANON-00120/IFKB-CANON-00120-C01-jpg.jpg,7859a575f8bb95f8aba936d19a41992472203d756d29de5a638ec65919b0e397,1280,1920,835819,approved,served_final,identity_retrieval_reference,yes,no,no,commons-mahrokh-kalam-polo,Exact Persian title and description for Kalam polo Shirazi; visible salad remains a side component.,assistant_visual_review_pass_2,2026-07-30T00:01:00Z,stage2_readjudication_from_retained_artifact,8634119409,sha256:e8707801495ec76655d0fffe564aab5013610a7316de87ef4f7500d4beaa1a8f
IFKB-CANON-00121-C01,IFKB-CANON-00121,سبزی پلو با ماهی,Herb rice with fish,File:سبزی پلو با ماهی کبابی رستوران لذیذ الماس.jpg,https://commons.wikimedia.org/wiki/File:%D8%B3%D8%A8%D8%B2%DB%8C_%D9%BE%D9%84%D9%88_%D8%A8%D8%A7_%D9%85%D8%A7%D9%87%DB%8C_%DA%A9%D8%A8%D8%A7%D8%A8%DB%8C_%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86_%D9%84%D8%B0%DB%8C%D8%B0_%D8%A7%D9%84%D9%85%D8%A7%D8%B3.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7a/%D8%B3%D8%A8%D8%B2%DB%8C_%D9%BE%D9%84%D9%88_%D8%A8%D8%A7_%D9%85%D8%A7%D9%87%DB%8C_%DA%A9%D8%A8%D8%A7%D8%A8%DB%8C_%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86_%D9%84%D8%B0%DB%8C%D8%B0_%D8%A7%D9%84%D9%85%D8%A7%D8%B3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/%D8%B3%D8%A8%D8%B2%DB%8C_%D9%BE%D9%84%D9%88_%D8%A8%D8%A7_%D9%85%D8%A7%D9%87%DB%8C_%DA%A9%D8%A8%D8%A7%D8%A8%DB%8C_%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86_%D9%84%D8%B0%DB%8C%D8%B0_%D8%A7%D9%84%D9%85%D8%A7%D8%B3.jpg/1280px-%D8%B3%D8%A8%D8%B2%DB%8C_%D9%BE%D9%84%D9%88_%D8%A8%D8%A7_%D9%85%D8%A7%D9%87%DB%8C_%DA%A9%D8%A8%D8%A7%D8%A8%DB%8C_%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86_%D9%84%D8%B0%DB%8C%D8%B0_%D8%A7%D9%84%D9%85%D8%A7%D8%B3.jpg,image/jpeg,3838,4797,1293667,65cb411715016748564521bb1b6e9176e9b9549d,Alirezagoharbar,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,cc_by_sa,سبزی پلو با ماهی کبابی رستوران لذیذ الماس شامل 350 گرم فیله استیک ماهی قزل آلا سالمون تازه به همراه برنج درجه یک ایرانی و دورچین بینظیر,candidates/IFKB-CANON-00121/IFKB-CANON-00121-C01-jpg.jpg,2fde5700dc4e12fc1a154050aeebf5b21a5848f8854953cba0824bbddc1ce854,1280,1600,413459,approved,served_final,identity_retrieval_reference,yes,no,no,commons-alirezagoharbar-sabzi-polo-mahi-restaurant,Exact Persian title and detailed source description for sabzi polo with grilled fish; restaurant presentation.,assistant_visual_review_pass_2,2026-07-30T00:01:00Z,stage2_readjudication_from_retained_artifact,8634119409,sha256:e8707801495ec76655d0fffe564aab5013610a7316de87ef4f7500d4beaa1a8f
IFKB-CANON-00121-C02,IFKB-CANON-00121,سبزی پلو با ماهی,Herb rice with fish,File:Baked Trout with Sabzi polo 01.jpg,https://commons.wikimdia.org/wiki/File:Baked_Trout_with_Sabzi_polo_01.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/Baked_Trout_with_Sabzi_polo_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Baked_Trout_with_Sabzi_polo_01.jpg/1280px-Baked_Trout_with_Sabzi_polo_01.jpg,image/jpeg,3264,2448,1279559,c58b4e9f7525af4152a44fd9896b87b59ade8dd8,Mehdi,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,cc_by_sa,"Baked Trout with Sabzi polo , Amol, Iran",candidates/IFKB-CANON-00121/IFKB-CANON-00121-C02-baked-trout-with-sabzi-polo-01-jpg.jpg,3602a2b0668b042111516f853bc681c2bde8128394ff209f6be0877246fac03d,1280,960,286911,approved,served_final,identity_retrieval_reference,yes,no,no,commons-mehdi-amol-baked-trout-sabzi-polo,Exact English source description for baked trout with sabzi polo in Amol; independent presentation/source from C01.,assistant_visual_review_pass_2,2026-07-30T00:01:00Z,stage2_readjudication_from_retained_artifact,8634119409,sha256:e8707801495ec76655d0fffe564aab5013610a7316de87ef4f7500d4beaa1a8f
IFKB-CANON-00122-C04,IFKB-CANON-00122,رشته پلو,Reshteh polo noodle rice,File:Reshteh pelu 6.jpg,https://commons.wikimedia.org/wiki/File:Reshteh_pelu_6.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Reshteh_pelu_6.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Reshteh_pelu_6.jpg/1280px-Reshteh_pelu_6.jpg,image/jpeg,3182,2118,1207271,95c9799cd5802bd7c1bb74c9a863f0faf32912ec,Shams948,Own work,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,cc0_pd,رشته پلو با برنج از غذاهای محلی,candidates/IFKB-CANON-00122/IFKB-CANON-00122-C04-reshteh-pelu-6-jpg.jpg,07fb6f4ac5c7984af550ef3fd7e604dcdbfd3c748e78352e061ec817300f711f,1280,852,260078,approved,served_final,identity_retrieval_reference,yes,no,no,commons-shams948-reshteh-polo-series,Exact Reshteh polo title/description; same source series as C05 and locked to one split group.,assistant_visual_review_pass_2,2026-07-30T00:01:00Z,stage2_readjudication_from_retained_artifact,8634119409,sha256:e8707801495ec76655d0fffe564aab5013610a7316de87ef4f7500d4beaa1a8f
IFKB-CANON-00122-C05,IFKB-CANON-00122,رشته پلو,Reshteh polo noodle rice,File:Reshteh pelu 5.jpg,https://commons.wikimdia.org/wiki/File:Reshteh_pelu_5.jpg,https://upload.wikimedia.org/wikipedia/commons/3/34/Reshteh_pelu_5.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Reshteh_pelu_5.jpg/1280px-Reshteh_pelu_5.jpg,image/jpeg,3324,2190,1370173,0e5bd1175c40e1413989abb26ea2063b807a6ba0,Shams948,Own work,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,cc0_pd,رشته پلو با برنج از غذاهای محلی,candidates/IFKB-CANON-00122/IFKB-CANON-00122-C05-reshteh-pelu-5-jpg.jpg,18accf60e2bc07d8cbd4f88bae242f430412ae98edcf725a39b3173f076e1af4,1280,843,283039,approved,served_final,identity_retrieval_reference,yes,no,no,commons-shams948-reshteh-polo-series,Exact Reshteh polo title/description; same source series as C04 and locked to one split group.,assistant_visual_review_pass_2,2026-07-30T00:01:00Z,stage2_readjudication_from_retained_artifact,8634119409,sha256:e8707801495ec76655d0fffe564aab5013610a7316de87ef4f7500d4beaa1a8f
