alias_fa,target,target_type
تخم مرغ,"egg, whole",generic
تخم مرغ کامل,"egg, whole",generic
تخم مرغ آب پز,"egg, whole, boiled",generic
تخم مرغ نیمرو,"egg, whole, fried",generic
سفیده تخم مرغ,"egg, white",generic
سفیده,"egg, white",generic
زرده تخم مرغ,"egg, yolk",generic
زرده,"egg, yolk",generic
گوجه,tomato,generic
گوجه فرنگی,tomato,generic
گوجه خام,"tomatoes, red, ripe, raw",generic
خیار,cucumber,generic
کاهو,lettuce,generic
هویج,carrot,generic
کلم,cabbage,generic
اسفناج,spinach,generic
بادمجان,eggplant,generic
کدو,squash,generic
کدو سبز,summer squash,generic
فلفل دلمه ای,sweet pepper,generic
قارچ,mushroom,generic
سیب زمینی,potato,generic
سیب زمینی سرخ کرده,french fries,generic
پیاز,onion,generic
سیر,garlic,generic
سالاد,salad,generic
سالاد سزار,caesar salad,generic
سالاد مرغ,chicken salad,generic
سالاد تن ماهی,tuna salad,generic
سالاد میوه,fruit salad,generic
برنج,rice,generic
برنج سفید پخته,"rice, white",generic
برنج قهوه ای,brown rice,generic
ماکارونی,pasta,generic
اسپاگتی,spaghetti,generic
نان,bread,generic
نان تست,toast,generic
نان سفید,white bread,generic
نان سبوس دار,whole wheat bread,generic
شیر,milk,generic
شیر کم چرب,lowfat milk,generic
شیر پرچرب,whole milk,generic
ماست,yogurt,generic
ماست یونانی,greek yogurt,generic
پنیر,cheese,generic
پنیر خامه ای,cream cheese,generic
کره,butter,generic
خامه,cream,generic
مرغ,chicken,generic
سینه مرغ,chicken breast,generic
ران مرغ,chicken thigh,generic
مرغ گریل,grilled chicken,generic
مرغ سوخاری,fried chicken,generic
گوشت گاو,beef,generic
گوشت گوسفند,lamb,generic
گوشت چرخ کرده,ground beef,generic
ماهی,fish,generic
ماهی سالمون,salmon,generic
تن ماهی,tuna,generic
میگو,shrimp,generic
لوبیا,beans,generic
عدس,lentils,generic
نخود,chickpeas,generic
آجیل,nuts,generic
گردو,walnuts,generic
بادام,almonds,generic
پسته,pistachios,generic
سیب,apple,generic
موز,banana,generic
پرتقال,orange,generic
نارنگی,tangerine,generic
انگور,grapes,generic
هندوانه,watermelon,generic
خربزه,melon,generic
توت فرنگی,strawberries,generic
خرما,dates,generic
کشمش,raisins,generic
آب میوه,fruit juice,generic
نوشابه,soft drink,generic
قهوه,coffee,generic
چای,tea,generic
پیتزا,pizza,generic
پیتزا پنیر,pizza with cheese,generic
همبرگر,hamburger,generic
چیزبرگر,cheeseburger,generic
ساندویچ,sandwich,generic
هات داگ,hot dog,generic
ناگت مرغ,chicken nuggets,generic
غلات صبحانه,breakfast cereal,generic
جو دوسر,oatmeal,generic
شکلات,chocolate,generic
بیسکویت,cookie,generic
کیک,cake,generic
