source_id,title,publisher,year,source_type,url,access_status,license_status,priority,allowed_use,notes
SRC-NEOFIT-SEED-V1,NeoFit Iranian foods starter catalog v1,NeoFit / internal,2026,internal_estimate,https://github.com/Emad211/Neofit-ai/blob/agent/mobile-local-first-expo/mobile/src/data/iranian-food-seed.ts,available,internal,P0,Allowed inside project,Current 83-row estimate snapshot; not a scientific reference.
SRC-IRAN-FCT-2017,Iranian Food Composition Table,NNFTRI / Shahid Beheshti University of Medical Sciences,2017,national_fcdb,https://www.fao.org/food-composition/tables-and-databases/detail/%28iran--2017%29-iranian-food-composition-table/en,restricted,unknown / permission required,P0,Do not redistribute until licensed,Primary Iranian reference target.
SRC-USDA-FDC,USDA FoodData Central,USDA Agricultural Research Service,2019,international_fcdb,https://fdc.nal.usda.gov/api-guide/,available,CC0-1.0,P0,Allowed with source attribution,Fallback for ingredients and matched foods.
SRC-FAO-INFOODS-STANDARDS,FAO/INFOODS Standards and Guidelines,FAO/INFOODS,2022,methodology,https://www.fao.org/infoods/infoods/standards-guidelines/en/,available,reference use,P0,Methodology only,"Controls naming, matching, components, interchange and QA."
SRC-FAO-INFOODS-RECIPES,FAO/INFOODS Recipe Calculation Guidance,FAO/INFOODS,2022,methodology,https://www.fao.org/infoods/infoods/recipes/en/,available,reference use,P0,Methodology only,Use yield and nutrient-retention factors for cooked/mixed dishes.
SRC-EFSA-FOODEX2,FoodEx2 classification and facets,EFSA,2026,taxonomy,https://www.efsa.europa.eu/en/data/data-standardisation,available,terms require review,P1,Mapping/classification,Hierarchical classification plus descriptive facets.
SRC-WHO-IRAN-RURAL-1996,Composition and nutritional value of traditional rural Iranian foods,WHO EMRO,1996,research_article,https://www.emro.who.int/emhj-volume-2-1996/volume-2-issue-2/article11.html,available,website terms / article citation,P1,Extract only with citation and rights check,Covers 24 traditional rural foods.
SRC-SAMAR-PENDING,SAMAR Iranian food composition software/database,Academic authors / Jorjani journal,,research_database,https://www.jorjanijournal.goums.ac.ir/browse.php?a_id=1064&html=1&sid=1&slc_lang=en,request_required,unknown / author permission required,P0,Metadata only until permission,"Reported 733 foods, up to 65 nutrients, and 252 composite foods; obtain raw data and permission."
SRC-USDA-FDC-FOUNDATION-2026-04,USDA FoodData Central Foundation Foods — April 2026,USDA Agricultural Research Service,2026,authoritative_fcdb,https://fdc.nal.usda.gov/download-datasets/,available,CC0-1.0,P0,Allowed with attribution,Pinned official release target for analytically derived commodity foods.
SRC-HF-OMID5-FDC-CLEAN-2024,Cleaned USDA FDC mirror — April 2024 snapshot,omid5 / Hugging Face,2024,secondary_mirror,https://huggingface.co/datasets/omid5/usda-fdc-foods-cleaned,available,CC0-1.0,P2,Staging and candidate discovery only,Not authoritative for final release; verify every FDC ID and nutrient against current official USDA.
SRC-HF-FOOD-DENSITY-SECONDARY,Food density and nutrition aggregate,arunapb / Hugging Face,2024,secondary_aggregate,https://huggingface.co/datasets/arunapb/food-density-nutrition,available,CC-BY-4.0,P3,QA examples and candidate discovery only,Contains generic aggregate values; several rows show plausibility issues and must remain quarantined.
