canon_id,food_name_fa,food_name_en,queries_pipe
IFKB-CANON-00009,قیمه بادمجان,Gheimeh eggplant stew,gheimeh bademjan|gheymeh bademjan|Persian eggplant split pea stew
IFKB-CANON-00012,چلو سفید,Persian white rice,chelo rice|Persian steamed white rice|Iranian chelow
IFKB-CANON-00021,باقالی‌پلو با ماهیچه,Baghali polo with lamb shank,baghali polo lamb shank|Persian dill rice lamb shank|baghali polo mahicheh
IFKB-CANON-00042,عدسی,Persian lentil soup,adasi Persian lentil soup|Iranian lentil soup|Persian lentil breakfast
IFKB-CANON-00045,کله‌پاچه,Kaleh pacheh,kaleh pacheh|Persian head feet soup|Iranian kaleh pacheh
IFKB-CANON-00047,سمبوسه,Iranian sambooseh,Iranian sambooseh|Persian samosa|Bandari sambooseh
IFKB-CANON-00048,شامی,Iranian shami kebab,Iranian shami kebab|Persian meat patty shami|shami kabab Iran
IFKB-CANON-00051,خوراک لوبیا چیتی,Persian pinto bean stew,Persian pinto bean stew|Iranian pinto bean dish|khorak loobia chiti
IFKB-CANON-00060,الویه,Salad Olivieh,salad olivieh|Persian chicken potato salad|Iranian Olivier salad
IFKB-CANON-00080,ماست,Iranian yogurt,Iranian yogurt|Persian yogurt bowl|mast Iranian
IFKB-CANON-00083,ماست چکیده,Persian strained yogurt,mast chekideh|Persian strained yogurt|Iranian labneh yogurt
IFKB-CANON-00105,قلیه ماهی,Ghalieh mahi,ghalieh mahi|Persian fish stew tamarind|Iranian fish herb stew
IFKB-CANON-00108,دیزی سنگی,Dizi sangi,dizi sangi|Persian stone pot stew|Iranian dizi stone pot
IFKB-CANON-00112,اکبرجوجه,Akbar joojeh,Akbar joojeh|Persian fried chicken Akbar Joojeh|Mazandaran Akbar Joojeh
IFKB-CANON-00150,دنده کباب,Dandeh kebab,dandeh kebab|Kermanshah rib kebab|Persian rib kebab
IFKB-CANON-00162,آش شله قلمکار,Ash sholeh ghalamkar,ash sholeh ghalamkar|Persian thick meat herb ash|Iranian sholeh ghalamkar
IFKB-CANON-00211,کوکو سیب‌زمینی,Kuku sibzamini,kuku sibzamini|Persian potato frittata|Iranian potato kuku
