canon_id,name_fa,name_en,aliases_fa,category,region,canon_status,priority
IFKB-CANON-00001,خورش کدو,Persian zucchini stew,,stew,,existing_legacy_concept,
IFKB-CANON-00002,خورش کرفس,Persian celery stew,,stew,,existing_legacy_concept,
IFKB-CANON-00003,خورش آلو اسفناج,Persian prune and spinach stew,,stew,,existing_legacy_concept,
IFKB-CANON-00004,خورش لوبیا سبز,Persian green bean stew,,stew,,existing_legacy_concept,
IFKB-CANON-00005,قیمه,Gheimeh stew,,stew,,existing_legacy_concept,
IFKB-CANON-00006,خورش به,Persian quince stew,,stew,,existing_legacy_concept,
IFKB-CANON-00007,خورش بادمجان,Persian eggplant stew,,stew,,existing_legacy_concept,
IFKB-CANON-00008,قورمه‌سبزی,Ghormeh sabzi,,stew,,existing_legacy_concept,
IFKB-CANON-00009,قیمه بادمجان,Gheimeh eggplant stew,,stew,,existing_legacy_concept,
IFKB-CANON-00010,فسنجان,Fesenjan walnut pomegranate stew,,stew,,existing_legacy_concept,
IFKB-CANON-00011,ته‌دیگ سیب‌زمینی,Potato tahdig,,rice,,existing_legacy_concept,
IFKB-CANON-00012,چلو سفید,Plain Persian rice,,rice,,existing_legacy_concept,
IFKB-CANON-00013,سبزی پلو,Persian herb rice,,rice,,existing_legacy_concept,
IFKB-CANON-00014,شوید باقالی‌پلو,Dill fava bean rice,,rice,,existing_legacy_concept,
IFKB-CANON-00015,استانبولی پلو,Estamboli polo,,rice,,existing_legacy_concept,
IFKB-CANON-00016,عدس پلو,Lentil rice,,rice,,existing_legacy_concept,
IFKB-CANON-00017,کلم پلو,Cabbage herb rice,,rice,,existing_legacy_concept,
IFKB-CANON-00018,لوبیا پلو,Green bean rice,,rice,,existing_legacy_concept,
IFKB-CANON-00019,زرشک‌پلو با مرغ,Barberry rice with chicken,,rice,,existing_legacy_concept,
IFKB-CANON-00020,ته‌چین مرغ,Chicken tahchin,,rice,,existing_legacy_concept,
IFKB-CANON-00021,باقالی‌پلو با ماهیچه,Fava bean rice with lamb shank,,rice,,existing_legacy_concept,
IFKB-CANON-00022,جگر,Grilled liver skewer,,kebab,,existing_legacy_concept,
IFKB-CANON-00023,جوجه کباب,Joojeh kebab,,kebab,,existing_legacy_concept,
IFKB-CANON-00024,کباب برگ,Kebab barg,,kebab,,existing_legacy_concept,
IFKB-CANON-00025,چنجه,Chenjej kebab,,kebab,,existing_legacy_concept,
IFKB-CANON-00026,کباب ترش,Torsh kebab,,kebab,,existing_legacy_concept,
IFKB-CANON-00027,کباب بختیاری,Bakhtiari kebab,,kebab,,existing_legacy_concept,
IFKB-CANON-00028,کباب کوبیده,Koobideh kebab,,kebab,,existing_legacy_concept,
IFKB-CANON-00029,شیشلیک,Shishlik,,kebab,,existing_legacy_concept,
IFKB-CANON-00030,چلوکباب کوبیده,Rice with koobideh kebab,,kebab,,existing_legacy_concept,
